Device Information:,,,,,,,,,,,,,,,,,,,
Name:,Kestrel_3098426,,,,,,,,,,,,,,,,,,
Model:,5400CL,,,,,,,,,,,,,,,,,,
Serial:,3098426,,,,,,,,,,,,,,,,,,
Firmware:,2.2,,,,,,,,,,,,,,,,,,
Profile Version:,1.37,,,,,,,,,,,,,,,,,,
Hardware Version:,Rev 21A,,,,,,,,,,,,,,,,,,
LiNK Version:,1.04.07,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Time,Temp,Wet Bulb Temp.,Globe Temp,Rel. Hum.,Baro.,Altitude,Station P.,Wind Speed,Heat Index,Dew Point,Dens. Alt.,Crosswind,Headwind,Mag. Dir.,NA WBGT,True Dir.,TWL,WBGT,Wind Chill
yyyy-MM-dd hh:mm:ss,Celsius,Celsius,Celsius,%,mb,Meters,mb,m/s,Celsius,Celsius,Meters,m/s,m/s,Degrees,Celsius,Degrees,W/m�,Celsius,Celsius
2026-05-29 02:48:10,14.5,11.6,10.8,71.2,1021.3,-70,1021.3,0,13.8,9.3,-55,***,***,***,11.7,***,308.1,11.8,14.4
2026-05-29 02:48:20,14.5,12,10.8,74.6,1021.2,-67,1021.2,0,14.1,10.1,-49,***,***,***,11.9,***,307.3,11.9,14.5
2026-05-29 02:48:30,14.5,12,10.8,75,1021.5,-71,1021.5,0,14,10.1,-56,***,***,***,12.1,***,306.4,12.1,14.4
2026-05-29 02:48:40,14.4,11.6,10.7,72.2,1021.5,-70,1021.5,0,13.9,9.5,-60,***,***,***,11.8,***,308,11.8,14.4
2026-05-29 02:48:50,14.4,11.2,10.7,69.3,1021.6,-71,1021.6,0,13.6,8.8,-65,***,***,***,11.7,***,309.6,11.7,14.3
2026-05-29 02:49:00,14.4,11.1,10.6,67.2,1021.6,-71,1021.6,0,13.5,8.4,-66,***,***,***,11.5,***,310.8,11.6,14.3
2026-05-29 02:49:10,14.4,10.9,10.6,65.4,1021.5,-70,1021.5,0.6,13.6,8,-65,***,***,***,11.3,***,311.8,11.4,14.4
2026-05-29 02:49:20,14.3,10.7,10.7,65.2,1021.8,-74,1021.8,0,13.4,7.8,-72,***,***,***,11.2,***,312.1,11.4,14.2
2026-05-29 02:49:30,14.1,10.7,10.7,65.8,1021.5,-71,1021.5,0,13.4,7.8,-74,***,***,***,11.2,***,311.6,11.4,14.1
2026-05-29 02:49:40,14,10.6,10.8,66,1021.4,-70,1021.5,0,13.3,7.8,-77,***,***,***,11,***,312,11.2,14
2026-05-29 02:49:50,14,10.5,10.8,66.1,1021.5,-71,1021.5,0,13.2,7.7,-81,***,***,***,11,***,311.9,11.2,13.9
2026-05-29 02:50:00,13.9,10.5,10.7,66.2,1021.5,-70,1021.5,0,13.1,7.7,-84,***,***,***,10.9,***,312.2,11.2,13.8
2026-05-29 02:50:10,13.8,10.5,10.7,66.5,1021.5,-70,1021.5,0,13.1,7.7,-86,***,***,***,10.9,***,312,11.1,13.8
2026-05-29 02:50:20,13.8,10.5,10.7,66.6,1021.5,-70,1021.5,0,13.1,7.7,-85,***,***,***,10.9,***,312.2,11.1,13.8
2026-05-29 02:50:30,13.7,10.4,10.7,66.8,1021.5,-70,1021.5,0,13,7.7,-90,***,***,***,10.8,***,312.5,11.1,13.7
2026-05-29 02:50:40,13.8,10.5,10.6,67.3,1021.4,-70,1021.4,0,13.1,7.8,-86,***,***,***,10.9,***,312.3,11.1,13.8
2026-05-29 02:50:50,13.8,10.8,10.6,69.4,1021.5,-70,1021.5,0,13.1,8.3,-87,***,***,***,11.1,***,311.6,11.2,13.7
2026-05-29 02:51:00,13.6,10.6,10.6,69.3,1021.5,-70,1021.5,0,13,8.1,-93,***,***,***,10.9,***,311.8,11.1,13.6
2026-05-29 02:51:10,13.6,10.5,10.7,68.5,1021.5,-70,1021.5,0,12.9,7.9,-95,***,***,***,10.9,***,312.1,11.1,13.5
2026-05-29 02:51:20,13.6,10.5,10.5,68,1021.5,-70,1021.5,0,12.9,7.8,-95,***,***,***,10.9,***,312.3,11.1,13.5
2026-05-29 02:51:30,13.6,10.4,10.5,67.7,1021.5,-71,1021.5,0,12.9,7.7,-95,***,***,***,10.8,***,313,11,13.5
2026-05-29 02:51:40,13.5,10.3,10.4,67.6,1021.5,-70,1021.5,0,12.9,7.7,-97,***,***,***,10.8,***,313,11,13.5
2026-05-29 02:51:50,13.5,10.3,10.4,67.6,1021.5,-70,1021.5,0,12.8,7.6,-100,***,***,***,10.7,***,313.4,10.9,13.4
2026-05-29 02:52:00,13.3,10.2,10.5,67.7,1021.5,-70,1021.5,0,12.7,7.5,-104,***,***,***,10.7,***,313.2,10.9,13.3
2026-05-29 02:52:10,13.3,10.2,10.5,67.9,1021.4,-70,1021.4,0,12.6,7.5,-106,***,***,***,10.6,***,313.5,10.8,13.2
2026-05-29 02:52:20,13.2,10.1,10.4,68,1021.5,-70,1021.5,0,12.5,7.4,-111,***,***,***,10.5,***,313.9,10.7,13.1
2026-05-29 02:52:30,13,9.9,10.5,68.3,1021.5,-70,1021.5,0,12.3,7.3,-118,***,***,***,10.3,***,314.1,10.6,12.9
2026-05-29 02:52:40,12.8,9.8,10.5,68.6,1021.5,-70,1021.4,0,12.1,7.2,-126,***,***,***,10.2,***,313.9,10.5,12.7
2026-05-29 02:52:50,12.8,9.8,10.6,69.2,1021.5,-70,1021.5,0,12.1,7.3,-125,***,***,***,10.2,***,313.9,10.5,12.7
2026-05-29 02:53:00,12.7,9.8,10.5,69.5,1021.5,-70,1021.5,0,12.2,7.3,-128,***,***,***,10.1,***,313.9,10.5,12.7
2026-05-29 02:53:10,12.8,9.9,10.4,69.8,1021.5,-71,1021.5,0,12.2,7.4,-126,***,***,***,10.1,***,314.2,10.4,12.7
2026-05-29 02:53:20,12.7,9.9,10.3,70,1021.4,-70,1021.5,0,12.1,7.3,-129,***,***,***,10.2,***,313.9,10.5,12.6
2026-05-29 02:53:30,12.8,10,10.3,70.2,1021.5,-70,1021.5,0,12.2,7.5,-126,***,***,***,10.2,***,314,10.5,12.7
2026-05-29 02:53:40,12.7,9.9,10.3,70.2,1021.5,-70,1021.5,0,12.2,7.4,-128,***,***,***,10.2,***,314.2,10.5,12.7
2026-05-29 02:53:50,12.8,10,10.2,70.3,1021.4,-70,1021.4,0,12.2,7.5,-125,***,***,***,10.2,***,314.4,10.5,12.7
2026-05-29 02:54:00,12.7,9.9,10.2,70.2,1021.5,-70,1021.5,0,12.2,7.5,-127,***,***,***,10.2,***,314.6,10.5,12.7
2026-05-29 02:54:10,12.7,9.9,10.2,70.2,1021.5,-70,1021.5,0,12.1,7.4,-129,***,***,***,10.2,***,314.8,10.5,12.6
2026-05-29 02:54:20,12.7,9.9,10.2,70.2,1021.5,-70,1021.5,0,12.2,7.4,-128,***,***,***,10.2,***,315,10.5,12.7
2026-05-29 02:54:30,12.7,9.9,10.2,70.2,1021.5,-70,1021.5,0,12.1,7.4,-130,***,***,***,10.2,***,315.2,10.5,12.6
2026-05-29 02:54:40,12.7,9.9,10,70.2,1021.5,-70,1021.5,0,12.1,7.4,-130,***,***,***,10.2,***,315.3,10.4,12.6
2026-05-29 02:54:50,12.7,9.9,10,70,1021.4,-70,1021.4,0,12.1,7.4,-128,***,***,***,10.2,***,315.5,10.4,12.6
2026-05-29 02:55:00,12.7,9.9,9.9,70,1021.4,-70,1021.4,0,12.1,7.3,-128,***,***,***,10.1,***,316.1,10.4,12.6
2026-05-29 02:55:10,12.7,9.8,9.9,69.9,1021.4,-70,1021.4,0,12.1,7.3,-128,***,***,***,10.1,***,316.2,10.3,12.6
2026-05-29 02:55:20,12.6,9.8,9.9,69.8,1021.4,-70,1021.4,0,12.1,7.3,-130,***,***,***,10.1,***,316.3,10.3,12.6
2026-05-29 02:55:30,12.6,9.8,9.9,70,1021.5,-71,1021.5,0,12,7.2,-134,***,***,***,10.1,***,316.1,10.3,12.5
2026-05-29 02:55:40,12.5,9.7,10,70.1,1021.5,-70,1021.5,0,12,7.2,-135,***,***,***,10,***,316.5,10.3,12.5
2026-05-29 02:55:50,12.5,9.7,10,70.3,1021.5,-70,1021.5,0,11.9,7.2,-137,***,***,***,10,***,316.4,10.3,12.4
2026-05-29 02:56:00,12.5,9.7,10,70.5,1021.5,-70,1021.5,0,11.9,7.3,-136,***,***,***,10,***,316.5,10.3,12.4
2026-05-29 02:56:10,12.4,9.7,9.9,70.7,1021.5,-70,1021.5,0,11.9,7.3,-137,***,***,***,10,***,316.6,10.2,12.4
2026-05-29 02:56:20,12.4,9.7,9.9,70.8,1021.4,-70,1021.4,0,11.9,7.3,-137,***,***,***,10,***,316.5,10.2,12.4
2026-05-29 02:56:30,12.4,9.7,9.9,70.9,1021.5,-70,1021.5,0,11.8,7.2,-140,***,***,***,10,***,316.5,10.2,12.3
2026-05-29 02:56:40,12.4,9.7,9.9,70.9,1021.5,-70,1021.5,0,11.8,7.2,-141,***,***,***,10,***,316.4,10.2,12.3
2026-05-29 02:56:50,12.3,9.7,9.9,71.1,1021.3,-68,1021.3,0,11.8,7.3,-140,***,***,***,10,***,316.5,10.2,12.3
2026-05-29 02:57:00,12.3,9.6,9.9,71.5,1021.5,-70,1021.5,0,11.8,7.3,-142,***,***,***,9.9,***,317,10.2,12.3
