Device Information:,,,,,,,,,,,,,,,
Name:,Kestrel_2174886,,,,,,,,,,,,,,
Model:,5400,,,,,,,,,,,,,,
Serial:,2174886,,,,,,,,,,,,,,
Firmware:,1.49,,,,,,,,,,,,,,
Profile Version:,,,,,,,,,,,,,,,
Hardware Version:,Rev 11B,,,,,,,,,,,,,,
LiNK Version:,1.04.07,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Time,Temp,Wet Bulb Temp.,Globe Temp,Rel. Hum.,Baro.,Altitude,Station P.,Wind Speed,Heat Index,Dew Point,Dens. Alt.,NA WBGT,TWL,WBGT,Wind Chill
yyyy-MM-dd hh:mm:ss,Celsius,Celsius,Celsius,%,mb,Meters,mb,m/s,Celsius,Celsius,Meters,Celsius,W/m�,Celsius,Celsius
2026-05-29 02:48:10,14.1,12,10.4,78.6,1022.2,-76,1022.1,0,13.7,10.4,-74,12.2,306.7,12,14
2026-05-29 02:48:20,14,11.8,10.4,77.7,1022.2,-78,1022.3,0,13.7,10.2,-80,12.1,307.5,11.9,14
2026-05-29 02:48:30,14,11.9,10.4,78.3,1022.7,-80,1022.7,0,13.7,10.3,-83,12.2,307.1,12,14
2026-05-29 02:48:40,14.1,11.9,10.4,77,1022.2,-77,1022.2,0,13.8,10.2,-75,12.1,307.8,11.9,14.1
2026-05-29 02:48:50,14.2,11.7,10.4,74.8,1022.2,-77,1022.2,0,13.7,9.8,-75,11.8,309.4,11.7,14.1
2026-05-29 02:49:00,14.2,11.5,10.2,72.7,1022.2,-77,1022.2,0,13.6,9.3,-75,11.6,310.5,11.6,14.1
2026-05-29 02:49:10,14.2,11.4,10.2,71.2,1022.2,-77,1022.2,0,13.5,9.1,-76,11.5,311.1,11.5,14.1
2026-05-29 02:49:20,14.1,11.1,10.2,70.3,1022.2,-77,1022.2,0,13.5,8.8,-80,11.4,311.8,11.4,14.1
2026-05-29 02:49:30,13.9,11,10.2,69.7,1022.2,-77,1022.2,0,13.3,8.5,-86,11.3,312.1,11.4,13.9
2026-05-29 02:49:40,13.7,10.7,10.3,69.5,1022.2,-77,1022.3,0,13.1,8.2,-97,11.2,312.2,11.2,13.7
2026-05-29 02:49:50,13.7,10.7,10.3,69.6,1022.2,-77,1022.2,0,13,8.2,-96,11.1,312.7,11.2,13.6
2026-05-29 02:50:00,13.7,10.7,10.2,69.8,1022.2,-77,1022.2,0,13,8.2,-98,11.1,312.3,11.2,13.6
2026-05-29 02:50:10,13.6,10.6,10.2,69.8,1022.2,-77,1022.2,0,13,8.2,-99,10.9,313.4,11.1,13.6
2026-05-29 02:50:20,13.6,10.6,10.2,69.9,1022.2,-77,1022.3,0,13,8.2,-100,10.9,313.6,11.1,13.6
2026-05-29 02:50:30,13.6,10.7,10.1,70,1022.2,-77,1022.2,0,13,8.3,-99,10.9,313.7,11.1,13.6
2026-05-29 02:50:40,13.6,10.7,10.1,70.4,1022.7,-82,1022.8,0,12.9,8.3,-107,11.1,312.8,11.2,13.5
2026-05-29 02:50:50,13.6,10.7,10.1,70.3,1022.2,-76,1022.2,0,12.9,8.3,-102,11.1,313,11.2,13.5
