Bioclimate measurement campaign Berlin-Adlershof,,,,,,,,,,
Measurement protocol semi-stationary measurements,,,,,,,,,,
Route: forum,,,,,,,,,,
Kestrel SN: 3098426,,,,,,,,,,
HT30 SN 1: 2519066,,,,,,,,,,
HT30 SN 2 (additional sites 4a, 5a): 2518991,,,,,,,,,
site no,site name,date,start (UTC),end (UTC),latitude (deg N),longitude (deg E),air temperature (degC),relative humidity (%),globe temperature (degC),comment
1,forum,2026-05-29,03:00:00,03:10:50,52.43124,13.53229,10.7,84.3,9.9,
2,einsteinpark,2026-05-29,03:13:30,03:23:07,52.43026,13.5341,8.7,93.7,7.9,
3,kekulepark,2026-05-29,03:24:47,03:33:50,52.42998,13.5332,9.5,89.7,9.2,
4,rudower south,2026-05-29,03:38:10,03:48:12,52.42964,13.5303,11.1,78.6,10.5,
4a,rudower south shelter,2026-05-29,03:38:10,03:47:15,52.42966,13.53035,12.2,69,11.9,
5,rudower north,2026-05-29,03:49:54,03:58:10,52.42983,13.53004,14,60.7,19,
5a,rudower north shelter,2026-05-29,03:49:54,03:57:30,52.42986,13.53009,15.7,52.3,25.4,
1,forum,2026-05-29,04:02:35,04:09:30,52.43124,13.53229,12.3,72.1,11.7,
2,einsteinpark,2026-05-29,04:12:32,04:22:05,52.43026,13.5341,10.4,81.7,10.1,
3,kekulepark,2026-05-29,04:24:00,04:33:00,52.42998,13.5332,12.1,75.7,12.1,
4,rudower south,2026-05-29,04:37:10,04:47:00,52.42964,13.5303,12.9,69.8,12.4,
4a,rudower south shelter,2026-05-29,04:37:10,04:46:00,52.42966,13.53035,13.2,63.5,13.6,
5,rudower north,2026-05-29,04:48:25,04:58:12,52.42983,13.53004,19.7,43.1,30.9,
5a,rudower north shelter,2026-05-29,04:48:25,04:56:30,52.42986,13.53009,21.6,38.2,29.1,
1,forum,2026-05-29,05:02:18,05:10:32,52.43124,13.53229,17.6,46.4,27.7,
2,einsteinpark,2026-05-29,05:13:42,05:22:12,52.43026,13.5341,18.4,40.7,28.4,
3,kekulepark,2026-05-29,05:24:00,05:33:30,52.42998,13.5332,16.4,51.2,18.7,
4,rudower south,2026-05-29,05:37:05,05:47:06,52.42964,13.5303,15.6,55,16.2,
4a,rudower south shelter,2026-05-29,05:37:05,05:46:10,52.42966,13.53035,16.6,50.7,16.4,
5,rudower north,2026-05-29,05:48:04,05:58:15,52.42983,13.53004,22.1,33.1,35.9,
5a,rudower north shelter,2026-05-29,05:48:04,05:57:00,52.42986,13.53009,26.3,24.3,40.4,
1,forum,2026-05-29,06:02:20,06:10:56,52.43124,13.53229,22.7,35.3,34.6,
2,einsteinpark,2026-05-29,06:14:37,06:22:25,52.43026,13.5341,18.7,35.2,32,
3,kekulepark,2026-05-29,06:24:05,06:33:18,52.42998,13.5332,19.6,41.8,21.5,
4,rudower south,2026-05-29,06:36:50,06:37:18,52.42964,13.5303,18.6,45.8,18.1,
4a,rudower south shelter,2026-05-29,06:36:50,06:46:20,52.42966,13.53035,18.7,41.6,18.6,
5,rudower north,2026-05-29,06:49:20,06:58:33,52.42983,13.53004,21.6,30.5,41.1,
5a,rudower north shelter,2026-05-29,06:49:20,06:57:44,52.42986,13.53009,27.5,20,42.2,
1,forum,2026-05-29,07:02:39,07:09:44,52.43124,13.53229,21.8,27.6,35.6,
2,einsteinpark,2026-05-29,07:12:45,07:22:05,52.43026,13.5341,20.7,30.1,38.1,
3,kekulepark,2026-05-29,07:23:58,07:33:50,52.42998,13.5332,19.9,33.6,24.9,
4,rudower south,2026-05-29,07:37:29,07:46:24,52.42964,13.5303,19.2,37.5,19,
4a,rudower south shelter,2026-05-29,07:37:29,07:46:24,52.42966,13.53035,20.2,34.4,20.4,
5,rudower north,2026-05-29,07:50:18,07:58:12,52.42983,13.53004,27.7,23.7,43.5,
5a,rudower north shelter,2026-05-29,07:50:18,07:57:43,52.42986,13.53009,29.7,17.5,47.8,
1,forum,2026-05-29,08:01:23,08:10:13,52.43124,13.53229,22.1,27.1,37.9,
2,einsteinpark,2026-05-29,08:13:12,08:22:05,52.43026,13.5341,23.3,24.5,41.3,
3,kekulepark,2026-05-29,08:24:05,08:33:36,52.42998,13.5332,22.6,24.2,44.8,
4,rudower south,2026-05-29,08:37:12,08:47:07,52.42964,13.5303,19.8,33.9,20.3,
