Bioclimate measurement campaign Berlin-Adlershof,,,,,,,,,,,
Measurement protocol semi-stationary measurements,,,,,,,,,,,
Route: park,,,,,,,,,,,
Kestrel SN: 2174886,,,,,,,,,,,
HT30 SN 1: 2518981,,,,,,,,,,,
HT30 SN 2 (additional site 2a): 2518994,,,,,,,,,,,
site no,site name,date,start (UTC),end (UTC),latitude (deg N),longitude (deg E),air temperature (degC),relative humidity (%),globe temperature (degC),comment,
1,workoutpark,2026-05-29,03:00:00,03:10:00,52.43635,13.52321,5.6,83,3.7,Kestrel date: 27.Mai 26,
2,courtyard,2026-05-29,03:13:00,03:23:00,52.43483,13.52385,9.4,90,7.8,,
2a,courtyard tree,2026-05-29,03:13:00,03:23:00,52.43514,13.52338,10.3,79.9,10.5,,
3,karl-ziegler east,2026-05-29,03:26:00,03:35:00,52.43489,13.52296,10.1,81.5,9.5,shade,
4,karl-ziegler west,2026-05-29,03:36:00,03:46:00,52.43478,13.52276,8.7,86.7,8.8,shade,
5,skatepark,2026-05-29,03:47:00,03:57:00,52.43514,13.52147,8.9,89.1,8.7,,
1,workoutpark,2026-05-29,04:00:00,04:10:00,52.43635,13.52321,10.1,77.5,10.7,sun on device,
2,courtyard,2026-05-29,04:13:00,04:23:00,52.43483,13.52385,14.5,69.8,26.9,kestrel in sun, ht30 in shadow /black globe in shadow
2a,courtyard tree,2026-05-29,04:13:00,04:23:00,52.43514,13.52338,18.9,46.6,28.1,ht30 in sun,
3,karl-ziegler east,2026-05-29,04:26:00,04:35:00,52.43489,13.52296,12.4,70.3,12.7,start in sun on ht30 not kestrel sphere ; halftime sun on kestrel,
4,karl-ziegler west,2026-05-29,04:36:00,04:46:00,52.43478,13.52276,12.9,69.6,13.7,,
5,skatepark,2026-05-29,04:47:00,04:57:00,52.43514,13.52147,13.6,66.7,13.4,,
1,workoutpark,2026-05-29,05:00:00,05:10:00,52.43635,13.52321,18.7,40.6,32.7,,
2,courtyard,2026-05-29,05:13:00,05:23:00,52.43483,13.52385,21.4,36.4,29,,
2a,courtyard tree,2026-05-29,05:13:00,05:23:00,52.43514,13.52338,18.8,40.3,33.9,,
3,karl-ziegler east,2026-05-29,05:25:00,05:35:00,52.43489,13.52296,15.6,52.8,15.9,,
4,karl-ziegler west,2026-05-29,05:36:00,05:46:00,52.43478,13.52276,16.9,47.9,20.6,,
5,skatepark,2026-05-29,05:48:00,05:57:00,52.43514,13.52147,18.7,37.6,35.1,,
1,workoutpark,2026-05-29,06:00:00,06:10:00,52.43635,13.52321,18.7,34.3,39.1,person working – potential shadow,
2,courtyard,2026-05-29,06:13:00,06:23:00,52.43483,13.52385,18.3,43.7,19.9,shade,
2a,courtyard tree,2026-05-29,06:13:00,06:23:00,52.43514,13.52338,19.1,42,20.9,shade,
3,karl-ziegler east,2026-05-29,06:25:00,06:35:00,52.43489,13.52296,17.9,45.3,18.3,shade,
4,karl-ziegler west,2026-05-29,06:36:00,06:46:00,52.43478,13.52276,23.4,26.8,43.7,sun,
5,skatepark,2026-05-29,06:48:00,06:57:00,52.43514,13.52147,21.3,28.9,38.3,sun ,
1,workoutpark,2026-05-29,07:01:00,07:10:00,52.43635,13.52321,22.3,27.7,40.8,,
2,courtyard,2026-05-29,07:14:00,07:23:00,52.43483,13.52385,20,35.5,20.8,,
2a,courtyard tree,2026-05-29,07:13:00,07:22:00,52.43514,13.52338,21.1,33.6,22.5,,
3,karl-ziegler east,2026-05-29,07:27:00,07:32:00,52.43489,13.52296,19.1,38.1,19.9,passerby at 7:32, shade
4,karl-ziegler west,2026-05-29,07:36:00,07:40:00,52.43478,13.52276,26.4,24.3,44.1,passerby at 7:40, sun
5,skatepark,2026-05-29,07:47:00,07:57:00,52.43514,13.52147,21.8,25,39.3,,
1,workoutpark,2026-05-29,08:00:00,08:10:00,52.43635,13.52321,23.1,22.6,43.1,very sunny,
2,courtyard,2026-05-29,08:13:00,08:23:00,52.43483,13.52385,22.3,25.2,36.6,partly shaded,
2a,courtyard tree,2026-05-29,08:13:00,08:23:00,52.43514,13.52338,20.9,30.6,23.2,,
3,karl-ziegler east,2026-05-29,08:26:00,08:36:00,52.43489,13.52296,20.1,25.7,43,two persons walked by,
4,karl-ziegler west,2026-05-29,08:37:00,08:47:00,52.43478,13.52276,27.7,18.4,43.4,person walked, car drove by
5,skatepark,2026-05-29,08:49:00,08:57:00,52.43514,13.52147,24.4,22.1,41.4,,
1,workoutpark,2026-05-29,09:00:00,09:10:00,52.43635,13.52321,25.8,21.7,43,person pasby 09:03; 09:08 person doing sports,
2,courtyard,2026-05-29,09:13:00,09:23:00,52.43483,13.52385,24.4,20.2,40.8,,
2a,courtyard tree,2026-05-29,09:13:00,09:23:00,52.43514,13.52338,21.9,28,24.6,,
3,karl-ziegler east,2026-05-29,09:25:00,09:35:00,52.43489,13.52296,24.8,23.3,34.5,,
4,karl-ziegler west,2026-05-29,09:36:00,09:46:00,52.43478,13.52276,25.9,20.2,49.7,,
5,skatepark,2026-05-29,09:47:00,09:47:00,52.43514,13.52147,26.9,16.7,44.1,,
1,workoutpark,2026-05-29,10:00:00,10:10:00,52.43635,13.52321,25.9,18.3,45.4,,
