"route","site","svf","n","UTCI_mean","UTCI_min","UTCI_max","UTCI_anom_mean","UTCI_anom_day","Tmrt_mean","Ta_mean","ws_mean"
"forum","kekulepark",0.414,19,22.758,11.2,30.3,-2.766,-3.29,26.225,22.603,0.324
"park","karl-ziegler east",0.483,19,25.647,11.4,37,0.124,0.135,38.55,22.714,1.014
"park","karl-ziegler west",0.577,18,23.883,10.6,32.7,-1.615,-1.871,29.389,22.814,0.537
"forum","rudower north",0.619,18,26.617,16.5,34.9,1.461,1.788,38.163,23.844,0.64
"forum","rudower south",0.63,18,22.256,12.4,31.8,-3.295,-3.987,26.793,22.267,0.695
"park","courtyard",0.642,19,26.005,10.4,36.6,0.482,0.585,38.682,22.719,0.812
"forum","einsteinpark",0.829,18,26.856,10.8,36.6,1.645,1.981,39.666,23.223,0.429
"forum","forum",0.915,19,26.532,12,36.1,1.008,0.947,38.916,23.257,0.581
"park","workoutpark",0.938,19,27.111,7.8,37.2,1.587,2.054,39.723,23.293,0.523
"park","skatepark",0.955,18,26.606,10.4,35.1,1.347,1.63,37.242,23.606,0.548
