"left_out","period","slope","p"
"courtyard","morning",1.03086456554567,0.0158217177809853
"courtyard","midday",0.4307810324808,0.269569122356971
"courtyard","afternoon",0.272086706414601,0.504532269042574
"courtyard","night",0.066829936788676,0.885904236273105
"einsteinpark","morning",1.00783946008037,0.0241101487081309
"einsteinpark","midday",0.281501462914578,0.490887283236965
"einsteinpark","afternoon",0.209370206848941,0.623866995860771
"einsteinpark","night",0.00201015113623685,0.996695684731508
"forum","morning",1.03465265531153,0.0312239963709376
"forum","midday",0.408842008735315,0.355343492737712
"forum","afternoon",0.248628145176237,0.589923372884226
"forum","night",-0.00842035304440927,0.987179301973
"karl-ziegler east","morning",1.01668488675071,0.0231962692196881
"karl-ziegler east","midday",0.707853116404507,0.0845000396702543
"karl-ziegler east","afternoon",0.407914721454621,0.340465072385704
"karl-ziegler east","night",0.122651523985164,0.802275430936878
"karl-ziegler west","morning",1.07140355618289,0.0121978865175592
"karl-ziegler west","midday",0.299880195047909,0.442917047469412
"karl-ziegler west","afternoon",0.187188673255802,0.647466828993595
"karl-ziegler west","night",0.0103064353032032,0.98245929845466
"kekulepark","morning",0.917244938822668,0.0628233611119413
"kekulepark","midday",0.140588554594766,0.754520952620309
"kekulepark","afternoon",0.286009994612756,0.543523606653571
"kekulepark","night",0.113068921344915,0.834162730602576
"rudower north","morning",1.15522152129611,0.0031361128710356
"rudower north","midday",0.529923517178487,0.134263770069592
"rudower north","afternoon",0.290121106517335,0.435038793051635
"rudower north","night",0.0615329993584449,0.886998800924881
"rudower south","morning",1.04146573309841,0.00611994051868195
"rudower south","midday",0.268402114373295,0.436205631877966
"rudower south","afternoon",0.238442737898383,0.509407237005219
"rudower south","night",0.0609866909800894,0.883331219409449
"skatepark","morning",1.15299445110743,0.0197878874823972
"skatepark","midday",0.326686998626133,0.470831010647643
"skatepark","afternoon",0.252611863149136,0.593197695105095
"skatepark","night",0.0570359393525357,0.915449947253286
"workoutpark","morning",1.23703363162204,0.00841290854218354
"workoutpark","midday",0.395770489080673,0.354634967592066
"workoutpark","afternoon",0.139793346449146,0.754430493519441
"workoutpark","night",0.0943419602477324,0.854037945195509
