"site.name","hour","Temp","Wet.Bulb.Temp.","Globe.Temp","Rel..Hum.","Baro.","Altitude","Station.P.","Wind.Speed","Heat.Index","Dew.Point","Dens..Alt.","NA.WBGT","TWL","WBGT","Wind.Chill","Tmrt","UTCI","svf","time_mid","n_raw","route","Crosswind","Headwind","Mag..Dir.","True.Dir.","site","local_time","t_local","sun_elev","period","ws_utci","D_Tmrt","UTCI_anom","Tmrt_anom","Ta_anom","ws_anom"
"courtyard",2026-05-29 03:00:00,9,7.54,8.76,81.66,1022.18,-76.26,1022.19,0,8.85,6.05,-275.19,7.59,320,7.98,8.95,8.75999999999999,10.4,0.642,2026-05-29 03:20:30,31,"park",NA,NA,NA,NA,"courtyard",2026-05-29 05:20:30,5.33333333333333,2.55515546249009,"morning",0.374662211060301,-0.240000000000009,-0.949999999999999,-1.26089419703989,-1.022,-0.012
"courtyard",2026-05-29 04:00:00,14.84,11.66,19.74,68.99,1022.47,-78.35,1022.47,0,14.11,9.19,-55.13,12.58,269.38,14.12,14.78,19.74,17.4,0.642,2026-05-29 04:20:30,31,"park",NA,NA,NA,NA,"courtyard",2026-05-29 06:20:30,6.33333333333333,10.6894516999676,"morning",0.374662211060301,4.90000000000001,2.7,4.45958541516213,1.801,-0.14
"courtyard",2026-05-29 05:00:00,16.91,12.42,18.8,59.59,1022.5,-79.29,1022.58,0.39,15.62,8.98,17.65,12.44,290.47,14.09,16.85,21.4331565755821,18.8,0.642,2026-05-29 05:20:30,31,"park",NA,NA,NA,NA,"courtyard",2026-05-29 07:20:30,7.33333333333333,19.4803826829196,"morning",0.39,4.52315657558213,-1.48,-4.68555527007545,-0.747,-0.026
"courtyard",2026-05-29 06:00:00,18.6,12.96,18.65,52.57,1022.41,-78,1022.42,0.55,16.97,8.72,79.26,13.28,320,14.87,18.55,18.7368781151596,18.5,0.642,2026-05-29 06:20:30,31,"park",NA,NA,NA,NA,"courtyard",2026-05-29 08:20:30,8.33333333333333,28.5873425107396,"morning",0.55,0.136878115159639,-6.53333333333333,-19.9550318723412,-1.50111111111111,-0.105555555555556
"courtyard",2026-05-29 07:00:00,20.07,13.54,21.68,47.99,1022.28,-77.9,1022.34,1.15,18.86,8.73,132.26,13.92,320,16.07,20.02,25.8159416940468,20.5,0.642,2026-05-29 07:20:30,31,"park",NA,NA,NA,NA,"courtyard",2026-05-29 09:20:30,9.33333333333333,37.6367361530992,"morning",1.15,5.74594169404678,-5.47777777777778,-15.0540009223302,-1.40888888888889,0.296666666666667
"courtyard",2026-05-29 08:00:00,22.14,14.5,32.78,43.25,1022.17,-76.19,1022.18,1.6,21.35,9.06,207.74,17.17,292.16,20.75,22.1,59.5236676858331,30.5,0.642,2026-05-29 08:20:30,31,"park",NA,NA,NA,NA,"courtyard",2026-05-29 10:20:30,10.3333333333333,46.1331736394286,"midday",1.6,37.3836676858331,0.629999999999999,8.2329136571414,-1.32,0.626
"courtyard",2026-05-29 09:00:00,24.09,15.16,35.74,38.1,1021.97,-74.35,1021.98,1.19,22.75,8.93,277.55,17.96,269.03,22.05,24.05,59.8861264594807,32.5,0.642,2026-05-29 09:20:30,31,"park",NA,NA,NA,NA,"courtyard",2026-05-29 11:20:30,11.3333333333333,53.3108754157157,"midday",1.19,35.7961264594807,2.21111111111111,9.27955423875277,-0.25888888888889,0.351111111111111
"courtyard",2026-05-29 10:00:00,24.73,15.32,36.49,36.23,1021.84,-73.96,1021.88,1.7,23.16,8.76,299.92,18.21,270.79,22.48,24.66,65.7483149732574,33.5,0.642,2026-05-29 10:20:00,25,"park",NA,NA,NA,NA,"courtyard",2026-05-29 12:20:00,12.3333333333333,57.9653533321124,"midday",1.7,41.0183149732574,2.6,12.9851253149408,-0.454999999999998,0.588
"courtyard",2026-05-29 11:00:00,26.46,15.84,38.82,32.15,1021.2,-67.74,1021.22,1.59,24.76,8.52,366.42,18.94,250.96,23.61,26.42,67.7757265374111,35.3,0.642,2026-05-29 11:20:30,31,"park",NA,NA,NA,NA,"courtyard",2026-05-29 13:20:30,13.3333333333333,58.8733319675347,"midday",1.59,41.3157265374111,2.94,12.6925834640391,0.0760000000000005,0.492
"courtyard",2026-05-29 12:00:00,27.29,16.11,40.35,30.45,1020.43,-61.87,1020.44,1.69,25.45,8.41,402.23,19.45,238.57,24.36,27.24,71.3459819593733,36.6,0.642,2026-05-29 12:20:30,31,"park",NA,NA,NA,NA,"courtyard",2026-05-29 14:20:30,14.3333333333333,55.6450459073276,"midday",1.69,44.0559819593733,4.44444444444444,17.6085060579394,0.354444444444443,0.481111111111111
